,TITLE,TRACK_ID,ALBUM,PRIMARY_ARTIST,PRIMARY_ARTIST_ID,ALL_ARTISTS,TEMPO_(BPM),LOUDNESS_(db),DURATION_(ms),ACOUSTICNESS,DANCEABILITY,ENERGY,INSTRUMENTALNESS,INSTRUMENTAL_PREDICT,LIVENESS,VALENCE,VALENCE_PREDICT,POPULARITY_SCALE,GENRE,RELATED_ARTISTS,SPOTIFY_URL,ARTWORK_URL
49,WokRock,7E1nlSFN4P21azebK5Kv39,WokRock,Smooky MarGielaa,2HO2kO7O5gEnM91dhobllP,['Smooky MarGielaa'],128.095,-6.266,154867,0.0382,0.871,0.567,0.0,Vocal,0.102,0.332,Negative,40,"['melodic rap', 'nyc rap', 'vapor trap']","['Nebu Kiniza', 'Kap G', 'Yung Bans', 'Baka Not Nice', 'Almighty Jay', 'Reese LAFLARE', 'Yung Tory', 'Famous Dex', 'SahBabii', 'Valee', '24hrs', 'Matt Ox', 'Skinnyfromthe9', 'Ronny J', 'D. Savage', '88GLAM', 'Lil Gnar', 'Quality Control', 'Lancey Foux', 'Nessly']",https://open.spotify.com/track/7E1nlSFN4P21azebK5Kv39,https://i.scdn.co/image/ab67616d0000b273c4c414260695413bdab6ac32
15,Runnin With,0uEuGO0jp4VrCmVgotvC6v,Almost There,LUCKI,5tQMB0cuNXdCtzovGt55uD,['LUCKI'],131.95,-9.767,146680,0.00614,0.896,0.475,2.63e-06,Vocal,0.0891,0.566,Positive,40,"['plugg', 'pluggnb', 'underground hip hop', 'vapor trap']","['Duwap Kaine', 'Destroy Lonely', 'Summrs', 'KANKAN', 'Izaya Tiji', 'vjac0b', 'D. Savage', 'Homixide Gang', 'UnoTheActivist', 'Ken Carson', 'Autumn!', 'Thouxanbanfauni', 'Tony Shhnow', 'Summrs Archived', 'SeptembersRich', 'Slimesito', 'Sickboyrari', 'iayze', 'Lancey Foux', 'GOONIE']",https://open.spotify.com/track/0uEuGO0jp4VrCmVgotvC6v,https://i.scdn.co/image/ab67616d0000b273d403bb2f183dfd8f2bf32e82
23,STACKHOUSE,1pR2t8MrNUm8rHz7ghuJAG,STACKHOUSE,Melvoni,01Kz5ab1oYMaey58CaGTxA,['Melvoni'],121.042,-6.553,162755,0.101,0.797,0.581,0.0,Vocal,0.0569,0.37,Negative,36,['nyc rap'],"['YSN Flow', 'Jay Gwuapo', 'Stunna Gambino', 'Justin Rarri', 'TJ Porter', ""LBS Kee'vin"", 'Taleban Dooda', 'Slatt Zy', 'YSN Fab', ""Smoove'L"", 'TOB Duke', 'Teejay3k', 'Eli Fross', 'Slim Dinero', '2KBABY', 'Tizzy Stackz', 'NorthSideBenji', 'Scorey', '100k Track', 'YXNG K.A']",https://open.spotify.com/track/1pR2t8MrNUm8rHz7ghuJAG,https://i.scdn.co/image/ab67616d0000b2733cb508e65138f11248ed876f
7,Pony Tail,0Xx2Dibm8XQNKt2kKakafb,G.I.H.F.,Rylo Rodriguez,0gg11prPP6OqtUvBcKnPpq,['Rylo Rodriguez'],118.082,-7.592,158842,0.24,0.927,0.575,0.0,Vocal,0.0987,0.727,Positive,35,"['alabama rap', 'atl trap', 'tennessee hip hop']","['Rylo', 'Slimelife Shawty', 'FCG Heem', 'Noodah05', 'Lil Kee', 'Lil Poppa', 'Lil Jairmy', 'NoCap', 'OMB Peezy', 'Yung Mal', 'Rylo love', 'Hunxho', 'Lil Zay Osama', 'Booka600', '4KT Yungin', 'TLE Cinco', 'T9ine', 'Mgm Lett', 'Ryloo']",https://open.spotify.com/track/0Xx2Dibm8XQNKt2kKakafb,https://i.scdn.co/image/ab67616d0000b273f5aebf727e4b42e0799a2145
12,Chemist,0BA7jmH9G4yFNmdLYQBndO,Blood On The Hills,Pyrex,4ELZUuHRIUrAkko2cjpWB1,"['Pyrex', 'Southside', '808 MAFIA']",112.011,-8.587,128600,0.0015,0.903,0.507,0.0,Vocal,0.329,0.214,Negative,35,[],"['Pyrex Whippa', 'Stoop Lauren', 'Southside', 'Tm88', 'Young Crazy', 'YRN Murk', 'CHASETHEMONEY', 'Only One Felipe', 'Redda', 'Strick', 'Lil Gotit', 'Doe Boy', 'FINAOthaDON', 'MDMA', 'Yung Mal', 'Yak Gotti', 'NGeeYL', 'Reese LAFLARE', 'Gunboi', '451']",https://open.spotify.com/track/0BA7jmH9G4yFNmdLYQBndO,https://i.scdn.co/image/ab67616d0000b273b70f10a578a84bf903dd0bbb
30,Joe N Love,767nLaq9xgnChwqkWJWlFj,Joe N Love,Pyrex Whippa,0fmftFfKFPOLOsL0ddoG0f,['Pyrex Whippa'],125.001,-11.589,145972,0.0549,0.844,0.51,2.04e-06,Vocal,0.0802,0.371,Negative,30,[],"['Only One Felipe', 'Stoop Lauren', 'Pyrex', 'YRN Murk', 'Young Crazy', 'FINAOthaDON', 'CHASETHEMONEY', 'DY Krazy', 'Redda', 'Southside', 'Guap Tarantino', 'NGeeYL', 'Reese LAFLARE', 'Lil Quill', 'Terrance Escobar', 'Yung Mal', 'Z Money', 'Dollabillgates', 'BoofBoiIcy', 'Yak Gotti']",https://open.spotify.com/track/767nLaq9xgnChwqkWJWlFj,https://i.scdn.co/image/ab67616d0000b273fd8d5996b5e24f48912b1765
47,Encino,0WheGd6XLTKvyrR1AKUQmk,B4 the SexTape,K Suave,04a6mc5vUtj2pMzteToeH7,"['K Suave', 'D. Savage', 'Buddah Bands']",140.039,-13.685,205976,0.0632,0.908,0.529,0.0227,Vocal,0.104,0.584,Positive,28,"['pluggnb', 'vapor trap']","['Lil Candy Paint', 'GOONIE', 'Chris King', 'Izaya Tiji', 'Homixide Gang', 'SeptembersRich', 'vjac0b', 'Rich Amiri', 'Summrs Archived', 'BoofPaxkMooky', 'Lil Playah', 'Onlybino!', 'TyFontaine', 'Duwap Kaine', 'Texako', 'Slimesito', 'Zelly Ocho', 'Chavo', 'Tony Shhnow', 'MDMA']",https://open.spotify.com/track/0WheGd6XLTKvyrR1AKUQmk,https://i.scdn.co/image/ab67616d0000b273b10868939448072f4e0bcd2b
42,Gleem,6q7JL2eb3cRutOlp6M2qoA,CRYBABY,svrite,7ySZXevcgRfQ8OBL76GMSz,['svrite'],120.014,-11.39,212509,0.214,0.826,0.46,0.000593,Vocal,0.267,0.332,Negative,26,"['meme rap', 'vapor trap', 'viral rap']","['Lil Rae', 'Moxas', 'Lil Saint', 'hooligan chase', 'Sad Frosty', 'Lil Noodle', 'RONEN', 'Ray Rockman', 'NXSTY', 'Daddex', 'ryster', 'SPACE914', 'Surf', 'KESHORE', 'KIL', 'Kill Jasper', 'ION LIL GUT', '6o', 'whiterosemoxie', 'Rocstaryoshi']",https://open.spotify.com/track/6q7JL2eb3cRutOlp6M2qoA,https://i.scdn.co/image/ab67616d0000b2731ad23a83c8618cbac057aad9
37,Beauty In A Nightmare,5WXAbNWal0LbBmpVk4BA9X,Beauty In A Nightmare,svrite,7ySZXevcgRfQ8OBL76GMSz,['svrite'],159.94,-9.68,119227,0.635,0.481,0.518,0.48,Vocal,0.513,0.135,Negative,25,"['meme rap', 'vapor trap', 'viral rap']","['Lil Rae', 'Moxas', 'Lil Saint', 'hooligan chase', 'Sad Frosty', 'Lil Noodle', 'RONEN', 'Ray Rockman', 'NXSTY', 'Daddex', 'ryster', 'SPACE914', 'Surf', 'KESHORE', 'KIL', 'Kill Jasper', 'ION LIL GUT', '6o', 'whiterosemoxie', 'Rocstaryoshi']",https://open.spotify.com/track/5WXAbNWal0LbBmpVk4BA9X,https://i.scdn.co/image/ab67616d0000b27320edc5edd07eec2780b3c05d
40,Jiggy,0I7esYprGdntNcPHc3k9bN,Jiggy,svrite,7ySZXevcgRfQ8OBL76GMSz,['svrite'],94.966,-11.036,81032,0.396,0.666,0.503,5.22e-05,Vocal,0.243,0.324,Negative,0,"['meme rap', 'vapor trap', 'viral rap']","['Lil Rae', 'Moxas', 'Lil Saint', 'hooligan chase', 'Sad Frosty', 'Lil Noodle', 'RONEN', 'Ray Rockman', 'NXSTY', 'Daddex', 'ryster', 'SPACE914', 'Surf', 'KESHORE', 'KIL', 'Kill Jasper', 'ION LIL GUT', '6o', 'whiterosemoxie', 'Rocstaryoshi']",https://open.spotify.com/track/0I7esYprGdntNcPHc3k9bN,https://i.scdn.co/image/ab67616d0000b273db90c8601657fcd9e857d893
26,3 Headed Goat (feat. Lil Baby & Polo G),677KTHp39ZBJ9csDdgymI9,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,3hcs9uc56yIGFCSy9leWe7,"['Lil Durk', 'Lil Baby', 'Polo G']",143.015,-8.607,169532,0.262,0.835,0.482,0.0,Vocal,0.0991,0.448,Negative,0,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']","['Fredo Santana', 'Shy Glizzy', 'Chief Keef', 'Lil Reese', 'Moneybagg Yo', 'Key Glock', 'Rich Homie Quan', 'Young Scooter', 'Doe Boy', 'Quando Rondo', 'Young Dolph', 'Tee Grizzley', 'YFN Lucci', 'G Herbo', 'FBG Duck', 'Blac Youngsta', 'Lud Foe', 'YoungBoy Never Broke Again', 'Only The Family', 'HoodRich Pablo Juan']",https://open.spotify.com/track/677KTHp39ZBJ9csDdgymI9,https://i.scdn.co/image/ab67616d0000b273a9237712a5a33cf1ea707bc7
34,more,4nsWdVm2Wq0KZd9qi82hkW,more,916frosty,6c0lj01vVpHsCH7Z5CfJ9K,['916frosty'],140.035,-8.737,273006,0.546,0.691,0.578,3.7e-05,Vocal,0.0983,0.354,Negative,0,"['emo rap', 'melodic rap', 'sad rap']","['SpaceMan Zack', 'RONEN', 'yung van', 'Two:22', 'Vaboh', 'LIL DUSTY G', 'Shrimp', 'Prettyheartbreak', 'Lil Xtra', 'Foreign Forest', 'fish narc', 'Lil Yung Pharaoh', 'Lil Rae', 'Kid $Ixty', 'Lil Cobaine', 'Jay Sek', 'Dancody', '7ru7h', '6o', 'Global Dan']",https://open.spotify.com/track/4nsWdVm2Wq0KZd9qi82hkW,https://i.scdn.co/image/ab67616d0000b273dd3dea0f989d99ca407393ab
43,Sandlot,1y9LlQMKlY7VXBiiBwwdBe,Sandlot,SSGKobe,1NHCwCMqV9oNQJXl16IltL,['SSGKobe'],124.003,-9.41,131613,0.0667,0.883,0.57,0.0,Vocal,0.109,0.827,Positive,0,"['pluggnb', 'vapor trap', 'viral rap']","['Slump6s', 'Rich Amiri', 'K Suave', 'TyFontaine', 'Yung Fazo', 'Onlybino!', 'che', 'SoFaygo', 'DC The Don', 'Lil Candy Paint', 'iayze', 'GOONIE', 'BIGBABYGUCCI', 'SSGKOBE etc', 'KANKAN', 'Summrs', 'SeptembersRich', 'Lil Playah', 'Izaya Tiji', 'Pasto Flocco']",https://open.spotify.com/track/1y9LlQMKlY7VXBiiBwwdBe,https://i.scdn.co/image/ab67616d0000b27385f7cefd1edce3d433cb1763
44,HAHA,6g5P8pZaVnz60FKmOTEOIn,HAHA,svrite,7ySZXevcgRfQ8OBL76GMSz,['svrite'],120.964,-7.824,96595,0.446,0.773,0.564,0.00656,Vocal,0.322,0.46,Negative,0,"['meme rap', 'vapor trap', 'viral rap']","['Lil Rae', 'Moxas', 'Lil Saint', 'hooligan chase', 'Sad Frosty', 'Lil Noodle', 'RONEN', 'Ray Rockman', 'NXSTY', 'Daddex', 'ryster', 'SPACE914', 'Surf', 'KESHORE', 'KIL', 'Kill Jasper', 'ION LIL GUT', '6o', 'whiterosemoxie', 'Rocstaryoshi']",https://open.spotify.com/track/6g5P8pZaVnz60FKmOTEOIn,https://i.scdn.co/image/ab67616d0000b2733555a8c32c9e15b385ff77bc
17,Reverse,1JO3DPRZLvMiZQDZmkS5OC,Reverse,svrite,7ySZXevcgRfQ8OBL76GMSz,['svrite'],145.09,-11.393,110629,0.00756,0.837,0.32,0.679,Instrumental,0.085,0.554,Positive,0,"['meme rap', 'vapor trap', 'viral rap']","['Lil Rae', 'Moxas', 'Lil Saint', 'hooligan chase', 'Sad Frosty', 'Lil Noodle', 'RONEN', 'Ray Rockman', 'NXSTY', 'Daddex', 'ryster', 'SPACE914', 'Surf', 'KESHORE', 'KIL', 'Kill Jasper', 'ION LIL GUT', '6o', 'whiterosemoxie', 'Rocstaryoshi']",https://open.spotify.com/track/1JO3DPRZLvMiZQDZmkS5OC,https://i.scdn.co/image/ab67616d0000b2738ccd554bc7f00cffb314725a
21,PHANTOM,1lKYd26uxDh7Uew4RKTYXi,G-Class,YSB,5LZZMfoewWhxBDaFNJZ6cj,['YSB'],169.921,-12.382,158000,0.058,0.641,0.492,0.0,Vocal,0.101,0.415,Negative,0,[],[],https://open.spotify.com/track/1lKYd26uxDh7Uew4RKTYXi,https://i.scdn.co/image/ab67616d0000b273c23f707cafc47021f2c0ccce
24,Flex!,7dQ3JnBO2EU480vZSCp4Db,Flex!,svrite,7ySZXevcgRfQ8OBL76GMSz,['svrite'],159.973,-11.283,156082,0.00216,0.772,0.566,0.00118,Vocal,0.224,0.222,Negative,0,"['meme rap', 'vapor trap', 'viral rap']","['Lil Rae', 'Moxas', 'Lil Saint', 'hooligan chase', 'Sad Frosty', 'Lil Noodle', 'RONEN', 'Ray Rockman', 'NXSTY', 'Daddex', 'ryster', 'SPACE914', 'Surf', 'KESHORE', 'KIL', 'Kill Jasper', 'ION LIL GUT', '6o', 'whiterosemoxie', 'Rocstaryoshi']",https://open.spotify.com/track/7dQ3JnBO2EU480vZSCp4Db,https://i.scdn.co/image/ab67616d0000b27309634c229fb40afa4c036280
48,Murder Passion,2g9qgqn6VvWzaxGE9ddGAH,Bawskee 4,Comethazine,1iJdyDcY98X3GMnUesl7tf,['Comethazine'],120.047,-9.159,84000,0.0407,0.85,0.663,7.9e-05,Vocal,0.133,0.723,Positive,0,"['meme rap', 'rap', 'trap', 'underground hip hop', 'vapor trap', 'viral rap']","['Tay-K', 'Lil Gnar', 'YBN Nahmir', 'Famous Dex', 'Lil Yachty', 'Ugly God', 'Kid Trunks', 'Almighty Jay', 'Yung Bans', 'Blueface', 'Trippie Redd', 'D. Savage', 'Sheck Wes', 'UnoTheActivist', 'Young Nudy', 'Cooliecut', '$NOT', 'Flipp Dinero', 'Smokepurpp', 'Dbangz']",https://open.spotify.com/track/2g9qgqn6VvWzaxGE9ddGAH,https://i.scdn.co/image/ab67616d0000b273fb4bdc85fde8f8234e37db95
1,twice,6PLM1Uh3XS9qje1WuJbVrK,twice,916frosty,6c0lj01vVpHsCH7Z5CfJ9K,['916frosty'],130.138,-7.316,164562,0.25,0.817,0.55,0.000233,Vocal,0.142,0.212,Negative,0,"['emo rap', 'melodic rap', 'sad rap']","['SpaceMan Zack', 'RONEN', 'yung van', 'Two:22', 'Vaboh', 'LIL DUSTY G', 'Shrimp', 'Prettyheartbreak', 'Lil Xtra', 'Foreign Forest', 'fish narc', 'Lil Yung Pharaoh', 'Lil Rae', 'Kid $Ixty', 'Lil Cobaine', 'Jay Sek', 'Dancody', '7ru7h', '6o', 'Global Dan']",https://open.spotify.com/track/6PLM1Uh3XS9qje1WuJbVrK,https://i.scdn.co/image/ab67616d0000b273a43c050d3aeec1120c2d1fc0
