,TITLE,TRACK_ID,ALBUM,PRIMARY_ARTIST,PRIMARY_ARTIST_ID,ALL_ARTISTS,TEMPO_(BPM),LOUDNESS_(db),DURATION_(ms),ACOUSTICNESS,DANCEABILITY,ENERGY,INSTRUMENTALNESS,INSTRUMENTAL_PREDICT,LIVENESS,VALENCE,VALENCE_PREDICT,POPULARITY_SCALE,GENRE,RELATED_ARTISTS,SPOTIFY_URL,ARTWORK_URL
39,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,['Travis Scott'],76.469,-8.764,175721,0.0546,0.598,0.427,5.83e-06,Vocal,0.21,0.0605,Negative,81,"['hip hop', 'rap', 'slap house']","['A$AP Rocky', 'A$AP Ferg', 'Chief Keef', 'A$AP Mob', 'Joey Bada$$', 'Huncho Jack', 'Pusha T', 'ScHoolboy Q', 'Meek Mill', 'Chance the Rapper', 'Playboi Carti', 'Young Nudy', 'Quavo', 'Flatbush Zombies', '2 Chainz', 'Migos', 'Earl Sweatshirt', 'Childish Gambino', 'Kendrick Lamar', 'Vince Staples']",https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,https://i.scdn.co/image/ab67616d0000b273e42b5fea4ac4c3d6328b622b
45,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,Too Hard,Lil Baby,5f7VJjfbwm532GiveGC0ZK,['Lil Baby'],119.996,-5.426,162053,0.217,0.877,0.517,0.0,Vocal,0.143,0.255,Negative,80,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/5BbdKBZO0TH0GhfxUfyhL9,https://i.scdn.co/image/ab67616d0000b2735067cc9332e2fdc69ea7b7a9
29,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['Juice WRLD', 'YoungBoy Never Broke Again']",180.051,-5.884,189323,0.0687,0.474,0.631,0.0,Vocal,0.132,0.425,Negative,75,"['chicago rap', 'melodic rap']","['NAV', 'Comethazine', 'Lil Yachty', 'Lil Tecca', 'Lil Mosey', 'Kodak Black', 'Trippie Redd', 'Lil Gnar', 'YNW Melly', 'YBN Nahmir', 'Blueface', 'Lil Pump', 'Flipp Dinero', 'Tay-K', 'Famous Dex', '6ix9ine', 'DaBaby', 'Lil Uzi Vert', '21 Savage', 'Yung Pinch']",https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,https://i.scdn.co/image/ab67616d0000b2735b4bee4c0dfe7f1ec4b2cc6d
20,Glock In My Lap,6pcywuOeGGWeOQzdUyti6k,SAVAGE MODE II,21 Savage,1URnnhqYAYcrqrcwql10ft,"['21 Savage', 'Metro Boomin']",130.029,-6.439,193591,0.00574,0.847,0.733,1.04e-05,Vocal,0.151,0.202,Negative,74,"['atl hip hop', 'rap', 'trap']","['Quavo', 'Young Thug', 'Gunna', 'Huncho Jack', 'Metro Boomin', 'Sheck Wes', 'Don Toliver', 'Lil Baby', 'Lil Keed', 'Lil Yachty', 'Trippie Redd', 'A$AP Mob', 'Migos', 'Lil Uzi Vert', 'NAV', '88GLAM', 'Young Nudy', 'Flipp Dinero', 'YG', 'Playboi Carti']",https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k,https://i.scdn.co/image/ab67616d0000b273aa57907bf0cb2ca0c8cc74bc
31,Hellcats & Trackhawks,53tv6ZbyeAwfAUwFaxYbfO,Only The Family - Lil Durk Presents: Loyal Bros,Only The Family,3IaKn0ExWTMPqa0mscUYw3,"['Only The Family', 'Lil Durk']",157.026,-5.557,146845,0.0122,0.841,0.672,0.0,Vocal,0.321,0.599,Positive,71,"['chicago rap', 'rap', 'southern hip hop', 'trap']","['Doodie Lo', 'Booka600', 'Lil Zay Osama', 'Foolio', 'Chris Brickley', 'BIG30', 'Lil Jairmy', 'Icewear Vezzo', 'PGF Nuk', 'Young Pappy', 'FBG Duck', 'Jackboy', 'EST Gee', 'Funk Flex', 'Muwop', 'Yungeen Ace', 'Lud Foe', 'BigKayBeezy', 'Fredo Bang', 'Slimelife Shawty']",https://open.spotify.com/track/53tv6ZbyeAwfAUwFaxYbfO,https://i.scdn.co/image/ab67616d0000b2735a150b940ef099e9bea28c55
41,Dëserve it,14p60PiibNloesz8pDovLI,Up 2 Më,Yeat,3qiHUAX7zY4Qnjx8TNUzVx,['Yeat'],75.944,-9.341,110602,0.0786,0.707,0.6,0.0,Vocal,0.325,0.598,Positive,69,['pluggnb'],"['Ken Carson', 'KANKAN', 'Autumn!', 'Summrs', 'LUCKI', 'tana', 'Destroy Lonely', 'SoFaygo', 'KA$HDAMI', 'Pi’erre Bourne', 'SSGKobe', 'Sided', 'iayze', 'D. Savage', 'UnoTheActivist', 'BabyTron', 'SeptembersRich', 'Duwap Kaine', 'Young Nudy', 'Cochise']",https://open.spotify.com/track/14p60PiibNloesz8pDovLI,https://i.scdn.co/image/ab67616d0000b273b20fdc3ee4c262693cfdf005
10,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,The Bigger Picture,Lil Baby,5f7VJjfbwm532GiveGC0ZK,['Lil Baby'],96.459,-5.756,252729,0.0127,0.59,0.618,0.0,Vocal,0.244,0.153,Negative,69,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,https://i.scdn.co/image/ab67616d0000b273c0ee50f512295c64a2c8af3d
9,Commercial (feat. Lil Uzi Vert),3tDqEKKUs6gf8zMvSuLyLA,My Turn,Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['Lil Baby', 'Lil Uzi Vert']",120.998,-8.637,214215,0.048,0.892,0.486,0.0,Vocal,0.146,0.535,Positive,68,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA,https://i.scdn.co/image/ab67616d0000b273f46a9ad551acbdab8f72fd89
19,WHAT TO DO? (feat. Don Toliver),4AO1XhrgJczQ9bNVxdfKQe,JACKBOYS,JACKBOYS,7A8S43ryYdbWpJKeHRZRcq,"['JACKBOYS', 'Travis Scott', 'Don Toliver']",118.037,-5.191,250142,0.0695,0.643,0.594,1.46e-05,Vocal,0.115,0.195,Negative,67,"['rap', 'trap']","['Offset', 'Huncho Jack', 'Metro Boomin', 'Sheck Wes', 'Quavo', 'Don Toliver', 'Young Stoner Life', 'A$AP Mob', 'Smokepurpp', 'Pi’erre Bourne', 'Quality Control', 'Rich The Kid', 'Takeoff', 'Famous Dex', 'Lil Keed', 'NAV', 'Lil Yachty', 'Mustard', 'Swae Lee', '88GLAM']",https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,https://i.scdn.co/image/ab67616d0000b273dfc2f59568272de50a257f2f
18,Wicked Freestyle,4xl69qYIDxUIACXSeRkXOY,Who is Nardo Wick?,Nardo Wick,0Njy6yR9LykNKYg9yE23QN,['Nardo Wick'],149.046,-9.561,167627,0.00277,0.661,0.511,0.0,Vocal,0.608,0.4,Negative,67,"['florida rap', 'rap', 'trap']","['Only The Family', 'SleazyWorld Go', 'EST Gee', 'BIG30', 'PGF Nuk', 'Big Scarr', 'Pooh Shiesty', 'Quin Nfn', 'Lil Double 0', 'Doe Boy', 'Icewear Vezzo', 'Hotboii', 'G Herbo', '42 Dugg', 'Never Broke Again', 'Babyface Ray', '22Gz', 'SpotemGottem', 'Baby Smoove', 'Lil Zay Osama']",https://open.spotify.com/track/4xl69qYIDxUIACXSeRkXOY,https://i.scdn.co/image/ab67616d0000b27304791a385c035c1642c80b8f
25,One Take,4uu7gKd1PffC7QEMcMk0Ro,True 2 Myself,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,['Lil Tjay'],148.014,-9.36,168653,0.072,0.76,0.615,0.0,Vocal,0.0571,0.351,Negative,66,"['brooklyn drill', 'melodic rap', 'nyc rap']","['Sheff G', 'J.I the Prince of N.Y', 'DDG', 'Scorey', 'Calboy', 'Bankrol Hayden', 'Sleepy Hallow', 'Fivio Foreign', '22Gz', 'Internet Money', 'Lil Tecca', 'Lil Mosey', 'Luh Kel', '2KBABY', 'YNW Melly', 'Polo G', 'Lil Loaded', 'Toosii', 'Hotboii', 'Roddy Ricch']",https://open.spotify.com/track/4uu7gKd1PffC7QEMcMk0Ro,https://i.scdn.co/image/ab67616d0000b273d2fe0b3a495888636cbed083
13,Only The Team (with Lil Mosey & Lil Tjay),6UHfW9PmGAUjIVeIkPzPQ2,Only The Team (with Lil Mosey & Lil Tjay),Rvssian,1fctva4kpRbg2k3v7kwRuS,"['Rvssian', 'Lil Mosey', 'Lil Tjay']",149.952,-2.871,168980,0.0178,0.764,0.774,0.0,Vocal,0.113,0.597,Positive,63,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']","['Brytiago', 'Nio Garcia', 'Lary Over', 'Chris Jedi', 'Revol', 'Lalo Ebratt', 'Bryant Myers', 'DJ Luian', 'Jory Boy', 'Noriel', 'Kevin Roldan', 'Miky Woodz', 'Amenazzy', 'Jon Z', 'Cauty', 'Lunay', 'Myke Towers', 'Alex Rose', 'Anuel AA', 'Darell']",https://open.spotify.com/track/6UHfW9PmGAUjIVeIkPzPQ2,https://i.scdn.co/image/ab67616d0000b2731b382fb4a70157f7b47af1ed
16,No Sense (feat. Key Glock),67K5Ki1bLemeOlN012sip8,Rich Slave,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,"['Young Dolph', 'Key Glock']",124.01,-6.581,140467,0.0326,0.945,0.662,1.17e-05,Vocal,0.124,0.782,Positive,63,"['gangster rap', 'hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']","['Young Scooter', 'Bankroll Fresh', 'Moneybagg Yo', 'Shy Glizzy', 'Yella Beezy', 'Doe Boy', 'Yo Gotti', 'Starlito', 'Key Glock', 'Peewee Longway', 'YFN Lucci', 'HoodRich Pablo Juan', 'Blac Youngsta', 'Rich Homie Quan', 'Boosie Badazz', 'Waka Flocka Flame', 'Juicy J', 'Tay Keith', 'Webbie', 'Sauce Walka']",https://open.spotify.com/track/67K5Ki1bLemeOlN012sip8,https://i.scdn.co/image/ab67616d0000b273d2ac2d5b457bcad2eddef496
36,Who I Want,3vJKLsUYcC7mARUTOMUPaJ,The Voice of the Heroes,Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['Lil Baby', 'Lil Durk']",145.928,-4.97,173208,0.14,0.77,0.561,0.0,Vocal,0.123,0.81,Positive,63,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/3vJKLsUYcC7mARUTOMUPaJ,https://i.scdn.co/image/ab67616d0000b2739fa79040de02a72663f24323
2,4 The Betta,7ibRB2S2WOfPKSvYkhcYtj,Days B4 III,LUCKI,5tQMB0cuNXdCtzovGt55uD,['LUCKI'],155.984,-9.926,132115,0.233,0.78,0.453,1.98e-06,Vocal,0.114,0.305,Negative,63,"['plugg', 'pluggnb', 'underground hip hop', 'vapor trap']","['Duwap Kaine', 'Destroy Lonely', 'Summrs', 'KANKAN', 'Izaya Tiji', 'vjac0b', 'D. Savage', 'Homixide Gang', 'UnoTheActivist', 'Ken Carson', 'Autumn!', 'Thouxanbanfauni', 'Tony Shhnow', 'Summrs Archived', 'SeptembersRich', 'Slimesito', 'Sickboyrari', 'iayze', 'Lancey Foux', 'GOONIE']",https://open.spotify.com/track/7ibRB2S2WOfPKSvYkhcYtj,https://i.scdn.co/image/ab67616d0000b27359fcdde95220d0f8bf7fbcd1
6,I Am (Lil Baby & Gunna),3F57PtOdqRpD6euFYqtKXX,Drip Harder,Lil Baby,5f7VJjfbwm532GiveGC0ZK,"['Lil Baby', 'Gunna']",130.003,-6.506,145060,0.328,0.822,0.461,0.0,Vocal,0.122,0.268,Negative,61,"['atl hip hop', 'atl trap', 'rap', 'trap']","['Gunna', '21 Savage', 'Quavo', 'Metro Boomin', 'Kodak Black', 'Roddy Ricch', 'YoungBoy Never Broke Again', 'Lil Yachty', 'Tee Grizzley', 'Lil Keed', 'Young Thug', 'Moneybagg Yo', 'Quando Rondo', 'Lil Durk', 'Flipp Dinero', 'G Herbo', 'Key Glock', 'Young Nudy', 'JayDaYoungan', 'Doe Boy']",https://open.spotify.com/track/3F57PtOdqRpD6euFYqtKXX,https://i.scdn.co/image/ab67616d0000b273ce159a3ba2096e13fa9d4b4c
38,Adam & Eve,0J6UvGEMuJvzPKvlDbBvLz,Wildboy,Calboy,0HkcYmcjrBR3SCw9Ld5VZk,['Calboy'],74.998,-5.553,179467,0.203,0.781,0.696,0.0,Vocal,0.13,0.692,Positive,60,"['chicago rap', 'melodic rap', 'pop rap', 'trap', 'viral rap']","['Jay Gwuapo', 'YSN Flow', 'Booka600', 'Justin Rarri', '2KBABY', 'Stunna Gambino', 'Lil Zay Osama', 'Melvoni', 'TJ Porter', ""Smoove'L"", 'Jay Critch', 'Lil Poppa', 'T9ine', 'Slimelife Shawty', 'Yung Tory', 'Yungeen Ace', 'OMB Peezy', 'Quando Rondo', 'Dee Watkins', 'Shy Glizzy']",https://open.spotify.com/track/0J6UvGEMuJvzPKvlDbBvLz,https://i.scdn.co/image/ab67616d0000b2735f75220f317b41171e88209e
33,Randomly,6P8rBeOxn0ervew8cr0jcD,Days B4 III,LUCKI,5tQMB0cuNXdCtzovGt55uD,['LUCKI'],129.995,-10.002,128538,0.00562,0.808,0.535,0.000944,Vocal,0.147,0.0966,Negative,59,"['plugg', 'pluggnb', 'underground hip hop', 'vapor trap']","['Duwap Kaine', 'Destroy Lonely', 'Summrs', 'KANKAN', 'Izaya Tiji', 'vjac0b', 'D. Savage', 'Homixide Gang', 'UnoTheActivist', 'Ken Carson', 'Autumn!', 'Thouxanbanfauni', 'Tony Shhnow', 'Summrs Archived', 'SeptembersRich', 'Slimesito', 'Sickboyrari', 'iayze', 'Lancey Foux', 'GOONIE']",https://open.spotify.com/track/6P8rBeOxn0ervew8cr0jcD,https://i.scdn.co/image/ab67616d0000b27359fcdde95220d0f8bf7fbcd1
28,Sidenote,1kBgQ2cBNONDo7ABrvmRfu,We Love You Tecca,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,['Lil Tecca'],140.001,-7.748,157933,0.0608,0.666,0.666,0.0,Vocal,0.15,0.487,Negative,59,"['melodic rap', 'pluggnb', 'rap']","['YNW Melly', 'Roddy Ricch', 'Blueface', 'YK Osiris', 'Flipp Dinero', 'Comethazine', 'NAV', 'Lil Mosey', 'DaBaby', 'Cordae', 'Scorey', 'Trippie Redd', 'YBN Nahmir', 'Lil Gnar', 'Yung Tory', 'PnB Rock', 'Pi’erre Bourne', 'YoungBoy Never Broke Again', '24kGoldn', 'Luh Kel']",https://open.spotify.com/track/1kBgQ2cBNONDo7ABrvmRfu,https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058
3,Diva,6FIsKBZc3EHaTvWndQajIF,Donny Womack,Don Toliver,4Gso3d4CscCijv0lmajZWs,['Don Toliver'],153.912,-7.118,201181,0.0759,0.757,0.655,0.0,Vocal,0.0743,0.897,Positive,56,"['pop', 'rap', 'trap']","['Sheck Wes', 'Metro Boomin', 'Gunna', 'Quavo', 'Lil Keed', 'SahBabii', 'Lancey Foux', '21 Savage', 'Young Thug', 'Comethazine', 'Young Nudy', 'A$AP Mob', 'Pi’erre Bourne', '88GLAM', 'Huncho Jack', 'UnoTheActivist', 'Flipp Dinero', '6LACK', 'NAV', 'Playboi Carti']",https://open.spotify.com/track/6FIsKBZc3EHaTvWndQajIF,https://i.scdn.co/image/ab67616d0000b2731c00775c64af66b04a8ece58
27,Just Say Det,1X5qFwlfEX1cHpp08hiGlw,A Gangsta’s Pain,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,['Moneybagg Yo'],140.022,-8.501,144033,0.0625,0.855,0.576,0.0,Vocal,0.213,0.324,Negative,54,"['hip hop', 'memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']","['YFN Lucci', 'Key Glock', 'Yella Beezy', 'Blac Youngsta', 'Tee Grizzley', 'HoodRich Pablo Juan', 'Quando Rondo', 'Boosie Badazz', 'Peewee Longway', 'Shy Glizzy', 'Doe Boy', 'Young Dolph', 'Sauce Walka', 'YoungBoy Never Broke Again', 'Bankroll Fresh', 'Tay Keith', 'Money Man', 'OMB Peezy', 'Lud Foe', 'Mozzy']",https://open.spotify.com/track/1X5qFwlfEX1cHpp08hiGlw,https://i.scdn.co/image/ab67616d0000b273b9ba23c2a9edf6f4b7e48bed
